Word,Tag 1,Tag 2,Tag 3,South Africa,Colour,Difficulty
"[Lemon, Orange, Mandarin]",Technical,triplets,,,1,2
Dark Souls,Games,,,,0,3
Demon Slayer,TV Show,Anime,,,0,2
Cristiano Ronaldo,People and Characters,Sports,Soccer,1,1,1
Digital twins,Technology,,,,0,3
Dexter,TV Show,,,,0,2
Cyril Ramaphosa,People and Characters,Politician,,,0,1
Da Vinci Code,Language and Literature ,Book,,,0,2
Danny K,People and Characters,Music,Artist,1,1,2
Coca-Cola,Companies,,,,1,1
Lebonon,Geography,City,,,,2
Doctor Who,TV Show,,,,1,3
Chinese New Year,Events,,,,,1
dragonball durag,Music,,,,1,3
Curious Case of Benjamin Button,Movies,,,,1,2
Dri Buddi,Things,,,1,0,2
dstv decoder,Things,,,1,1,1
FAUNA AND FLORA,Nature,,,,0,2
Death Star,Language and Literature ,Places,,,0,1
Dala what you must,Culture,Language and Literature,,1,0,1
Diary of a Wimpy Kid,Language and Literature ,Book,,,0,2
David Kramer,People and Characters,South Africa,,1,1,2
Cape Protea,Nature,South Africa,,,,1
driftwood,Nature,,,,0,2
Desmond Tutu,People and Characters,Politician,,1,1,2
Diego Maradona,People and Characters,Sports,Soccer,,1,2
Complex Numbers,Math and Science,,,,1,3
Disgrace,Language and Literature ,Book,,,0,3
Dark Knight ,Movies,,,,0,1
DEVIL WEARS PRADA ,Movies,,,,1,2
Donald Bradman,People and Characters,Sports,,,0,3
Die hard,Movies,,,,0,2
district 9,Movies,South Africa,,1,1,2
Django Unchained,Movies,,,,0,2
Christmas Day,Events,,,,,1
Dricus du Plessis,People and Characters,Sports,UFC,1,1,2
Dune,Movies,,,,0,1
Commonwealth Games,Events,,,,,2
Dwayne Johnson,People and Characters,Sports,WWE,,1,1
Down Second Avenue,Language and Literature ,Book,,,0,3
Burj Khalifa,Geography,Landmarks,,,0,3
Doom,Games,,,,1,2
CTEMF,Events,,,1,1,3
Cairo,Geography,City,,,,1
Die Afrikaanse Patriot,History,South Africa,,1,0,3
FIFA World Cup,History,South Africa,,,1,1
FAHRENHEIT 9/11 ,Movies,,,,1,2
DevOps,Technology,,,,1,3
Downton Abbey,TV Show,,,,0,3
Dragon Prince,TV Show,,,,1,3
drop it like it's hot,Music,Lyrics,,,1,1
"Earth, Wind and Fire",People and Characters,Music,Artist,,0,2
Canberra,Geography,City,,,,2
Formula E,Sports,,,,1,2
Freedom Charter,History,South Africa,,1,0,1
Dragonball Z,TV Show,Anime,,,0,1
Cape Town,Geography,City,,1,,1
"[Oxygen, Carbon Dioxide, Nitrogen]",Technical,triplets,,,0,2
Dunning–Kruger effect,Language and Literature ,,,,1,3
Eina,Culture,,,1,1,1
Decimals,Math and Science,,,,,1
Eggnog,Food and Drink,Drink,,1,1,2
Eldrick Tont Woods,People and Characters,Sports,Golf,,0,3
Educated,Language and Literature ,Book,,,0,2
Daisies,Events,,,1,0,1
Cape Verde,Geography,Country,,,0,3
Chichen Itza,Geography,Landmarks,,,0,3
Eren Yeager,People and Characters,Anime,,,1,3
Empanadas,Food and Drink,Meal,,1,0,3
Fajitas,Food and Drink,Meal,,,1,3
Duran Duran,Music,Lyrics,,,1,2
Erling Haaland,People and Characters,Sports,Soccer,1,0,3
Ek wil huis toe gaan,Music,Lyrics,,1,1,2
Chile,Geography,Country,,,,2
Family Guy,TV Show,,,,0,2
Eyedress,People and Characters,Artist,,,1,2
Falafel,Food and Drink,Meal,,,0,2
China,Geography,Country,,,,1
"[Vinegar, Baking Soda]",Technical,triplets,,,1,1
Fernando Alonso,People and Characters,Sports,F1,,0,3
Fahrenheit 451,Language and Literature ,Book,,,0,3
Franklin D. Roosevelt,People and Characters,Politician,,,1,3
Fight Club,Movies,,,,0,1
Fargo,TV Show,,,,1,3
Donga,Culture,,,1,1,3
Fault in Our Stars,Language and Literature ,Book,,,0,3
Christ the Redeemer,Geography,Landmarks,,,1,2
Electromagnetism,Math and Science,,,,0,2
Corsair,Companies,,,,,3
Fear Factor,TV Show,Reality,,,0,2
Euler's Identity,Math and Science,,,,0,3
Colosseum,Geography,Landmarks,,,1,2
fenugreek,Food and Drink,,,,1,3
Every Breath You Take,Music,Lyrics,,,1,1
eye of tiger,Music,Lyrics,,,1,1
Blobfish,Animals,,,,0,3
Met Eish Bra,Culture,,,1,1,2
Firefly,TV Show,,,,1,2
flint,Things,,,,0,2
"Meow, Meow, Meow",Language and Literature ,Phonics,,,0,1
Frappuccino,Food and Drink,Drink,,,0,3
Comoros,Geography,Country,,,1,3
Final Fantasy,Games,,,,1,2
Frederick Carlton Lewis,People and Characters,Sports,,,0,3
"quack, quack, quack",Language and Literature ,Phonics,,,1,1
FW de Klerk,People and Characters,Politician,,1,1,2
Fela in versace,Music,Lyrics,,1,1,2
Devil's Peak,Geography,Landmarks,,,1,1
Deezer,Companies,,,,0,2
Finding Nemo,Movies,,,,1,1
Fibonacci Sequence,Math and Science,,,,0,3
Fourier Transform,Math and Science,,,,1,3
Hanukkah,Events,,,,0,2
*Hitchhiking*,Actions,,,,1,1
Fruity Loops,Music,,,1,1,3
fiela se kind,Language and Literature ,,,1,1,3
Four Corners,Movies,South Africa,,1,1,2
Bombardier beetle,Animals,,,,,3
Freakonomics,Language and Literature ,Book,,,0,3
Fleabag,TV Show,,,,0,3
Gees,Culture,,,1,1,2
Get Out,Movies,,,,1,2
Capybara,Animals,,,,0,2
Discovery,Companies,,,,,1
Ericas,Nature,South Africa,,1,1,2
Friends,TV Show,,,,1,1
Fractals,Math and Science,,,,0,2
French Revolution,History,,,,0,2
Buddha,People and Characters,,,,0,1
Fractions,Math and Science,,,,,1
Godfather,Movies,,,,1,1
Djibouti,Geography,Country,,,1,3
Hawker,Culture,,,1,1,3
GBV,History,Event,,,0,1
Gangnam Style,Music,Lyrics,,,0,1
Fruit Cake,Food and Drink,,,,1,2
Gem Squash,Food and Drink,,,,0,3
Gettysburg Address,History,Event,,,0,3
George Best,People and Characters,Sports,,,1,2
"Woof, Woof, Woof",Language and Literature ,Phonics,,,1,1
Gogo,Culture,,,1,1,2
Goldfinch,Language and Literature ,Book,,,0,3
Gone with the Wind,Language and Literature ,Book,,,0,3
George Herman Ruth,People and Characters,Sports,,,0,2
Futurama,TV Show,,,,0,2
Docside,Geography,Places,,,1,2
Game Theory,Math and Science,,,,1,2
Diwali,Events,Holidays,,,,1
Gohan,People and Characters,Anime,,,1,1
Gulf War,History,South Africa,,,0,3
HAITI EARTHQUAKE,History,Event,,,0,3
"[Breakfast, Lunch, Dinner]",Technical,triplets,,,1,1
Gods Must Be Crazy,Movies,South Africa,,1,1,2
"get low, get low",Music,Lyrics,,,0,1
happy birthday to you,Music,,,,0,1
Good Bye Lenin!,Movies,,,,1,3
Durban,Geography,City,,1,,1
Graça Machel,People and Characters,South Africa,,,0,2
Edinburgh Castle,Geography,Landmarks,,,1,3
"Harder, Better, Faster, Stronger",Music,Lyrics,,,0,1
Great Expectations,Language and Literature ,Book,,,0,3
hurt so bad ,Music,Lyrics,,1,1,2
Game of Thrones,TV Show,,,,1,1
Gaussian Distribution,Math and Science,,,,0,3
*Glassblowing*,Actions,,,,1,2
great gatsby,Language and Literature ,Book,,,0,1
Good Place,TV Show,,,,0,3
Egoli,Geography,Places,,1,1,2
Han Solo,People and Characters,,,,1,2
Durban July,Events,,,1,0,3
I wanna be a billionaire,Music,Lyrics,,,0,1
I want to break free,Music,Lyrics,,,0,2
*Flying*,Actions,,,,1,1
Goulash,Food and Drink,Meal,,,1,3
Global Positioning System,Technology,,,,1,2
GOOGLE GLASSES,Technology,,,,0,2
Grillers,Language and Literature ,Book,,1,0,3
Hakuna Mutata,Language and Literature ,,,,1,2
Grand Theft Auto,Games,,,,1,2
Hiroshima,History,,,,0,1
Gravity Falls,TV Show,,,,1,3
Egypt,Geography,Country,,,,1
Fynbos,Culture,,,1,1,1
Holocaust,History,,,,0,1
Hidden Leaf Village,Language and Literature ,Places,,,1,3
Helen Suzman,People and Characters,Politician,,,0,2
Helen Zille,People and Characters,Politician,,1,1,1
Half-Life 2,Games,,,,0,3
I'm every women,Music,Lyrics,,,0,1
Hendrick Verwoerd,People and Characters,Politician,,,0,2
Henry Ford,People and Characters,,,,1,2
Hannibal,TV Show,,,,1,3
Henry Louis Aaron,People and Characters,Sports,,,0,3
Eiffel Tower,Geography,Landmarks,,,0,1
Empire State Building,Geography,Landmarks,,,0,1
Hurricane Katrina,History,Event,,,0,2
General Theory of Relativity,Math and Science,,,,0,3
Genome Sequencing,Math and Science,,,,1,3
Geometry,Math and Science,,,,,1
Gold,Math and Science,,,,,1
Golden Ratio,Math and Science,,,,0,2
Gravity,Math and Science,,,,,1
Hubble's Law,Math and Science,,,,1,3
Hydrogen,Math and Science,,,,,1
Krypton,Math and Science,,,,0,3
Maxwell's Equation,Math and Science,,,,1,3
Möbius Strip,Math and Science,,,,0,3
Hugh Masekela,People and Characters,Music,,,1,3
Hit the nail on the head,Language and Literature ,,,,1,2
hide and seek,Games,,,,1,2
Hopscotch,Games,,,,0,2
epstein Island,Geography,Places,,,0,2
House of Cards,TV Show,,,,0,3
Goku,People and Characters,Anime,,,0,1
house of cronies,Games,Boardgame,,1,1,3
Hitchhiker's Guide to Galaxy,Language and Literature ,Book,,,0,2
hula hoop,Things,,,,1,1
Internet of Things,Technology,,,,0,3
"I'm blue, da ba dee da ba di",Music,Lyrics,,1,0,1
Idi Amin,People and Characters,Politician,,,1,3
imagine dragons,People and Characters,Music,,,0,1
Goodfellas,Movies,,,,0,3
IMAM Haron,People and Characters,,,1,1,2
Grand Budapest Hotel,Movies,,,,1,3
Imagine all the people,Music,Lyrics,,,0,2
"[Caterpillar, Cocoon, Butterfly]",Technical,triplets,,,0,2
Isabel Perón,People and Characters,,,,0,3
Jack Roosevelt Robinson,People and Characters,Sports,,,1,3
Grave of the Fireflies,Movies,Anime,,,0,3
Eritrea,Geography,Country,,,0,3
How to Train Your Dragon,Movies,Animation,,,0,2
kap tol,Games,Culture,,,1,3
higgs boson,Technology,,,,1,2
In the Meantime,Music,Lyrics,,1,0,2
In the 18 Area,Music,Lyrics,,,0,3
Indaba,Culture,,,1,1,3
Jägerbomb,Food and Drink,Drink,,,0,2
Isidingo,TV Show,,,1,0,2
Ismaël Lô,Music,Artist,,,1,3
invictus,Movies,South Africa,,1,1,2
Joe Barber,Movies,South Africa,,1,1,2
Forbidden City,Geography,Landmarks,,,0,3
James Blunt,People and Characters,Music,Artist,,1,1
Jumper,Movies,,,,1,2
iPHONE,Things,,,,0,1
James Cleveland Owens,People and Characters,Sports,,,0,2
I have a dream,History,Event,,,0,1
James Francis Thorpe,People and Characters,Sports,,,1,2
Hoʻoponopono,Language and Literature ,,,,0,3
House of Hades,Language and Literature ,Book,,,0,3
Hueco Mundo,Language and Literature ,Places,,,0,3
Jan Smuts,People and Characters,Politician,,1,0,2
Jenna Marbles,People and Characters,Youtube,,,1,3
Kabhi Kushi Kabhi Gham,Movies,Indian,,,0,3
Kabaddi,Sports,,,,1,3
Joe Rogan Podcast,TV Show,,,,1,1
Jerry Rice,People and Characters,Sports,,,0,3
Hunger Games,Language and Literature ,Book,,,0,2
Ikigai,Language and Literature ,,,,0,2
First national bank,Companies,,,1,1,1
Johann Rupert,People and Characters,Politician,,1,1,3
Johannes Gutenberg,People and Characters,,,1,0,3
John Herschel,People and Characters,,,,1,3
Juffrou Is 'n Monster,Language and Literature ,Book,,1,0,3
Johnny Clegg,People and Characters,Music,Artist,1,1,1
Easter Monday,Events,,,,,1
it's too late to apologize,Music,Lyrics,,,1,1
July's People ,Language and Literature ,Book,,,0,3
Industrial Revolution,History,Event,,,1,2
"[Circle, Square, Triangle]",Technical,triplets,,,1,2
Kanto Earthquake,History,Event,,,0,2
Jon Jones,People and Characters,Sports,,,0,2
Just keep swiming,Music,Lyrics,,1,1,1
Caracal,Animals,,,,,2
Kimchi,Food and Drink,Meal,,,1,2
Free State,Geography,Province,,,0,2
Jonty Rhodes,People and Characters,Sports,Cricket,1,1,2
Gaborone,Geography,City,Capital,,0,3
Keeping Up with Kardashians,TV Show,,,,0,1
"[Cut, Copy, Paste]",Technical,triplets,,,1,1
Isibindi,Culture,,,1,1,3
FirstRand,Companies,,,,,2
Germany,Geography,Country,,,,1
Joseph Clifford Montana,People and Characters,Sports,,,0,3
Kite runner,Language and Literature ,Book,,,0,2
Kwaito,Culture,,,1,1,2
Kurosaki Ichigo,People and Characters,Anime,,,0,3
Glasgow,Geography,City ,,,0,2
Let the cat out of the bag ,Language and Literature ,,,,0,2
Kanye West,People and Characters,Music,Artist,,0,1
Kaytranada,People and Characters,Music,Artist,,1,2
Khabib Nurmagomedov,People and Characters,Sports,UFC,,0,2
golan heights,Geography,,,,,3
Korean War,History,South Africa,,,0,2
Kobe Bryant,People and Characters,Sports,Basketball,,1,1
Koos Bekker,People and Characters,Politician,,,0,2
"[Drum, Piano, Bass]",Technical,triplets,,,1,2
Atcha,Food and Drink,,,,0,2
"Kaptein, van die sailor ",Music,Lyrics,,1,1,1
Kylian Mbappé,People and Characters,Sports,Soccer,,1,3
LaMelo Ball,People and Characters,Sports,Basketball,,1,3
Lance Armstrong,People and Characters,Sports,,,0,1
Kal Ho Naa Ho,Movies,Indian,,,1,3
Golden Dish,Geography,Places,,1,0,2
"[Earth, Wind, Fire, Water]",Technical,triplets,,,1,3
Larry Bird,People and Characters,Sports,Basketball,,1,2
Golden Gate Bridge,Geography,Landmarks,,,0,1
LeBron James,People and Characters,Sports,Basketball,,0,1
Kashmir,Music,Song,,,1,3
Led Zeppelin,People and Characters,Music,Artist,,1,1
Kat and the Kings,Movies,South Africa,,1,1,3
"Father, Son, Holy Spirit",Language and Literature ,triplets,,,1,1
Lekker,Culture,,,1,1,1
Lucky Star,Food and Drink,,,1,1,2
"the LION, the WITCH AND the WARDROBE",Language and Literature ,,,,1,2
Mampara,Culture,,,1,1,3
Coati,Animals,,,,,2
Kiss me thru phone,Music,Lyrics,,,1,1
Foschini,Companies,,,1,0,1
Kill Bill,Movies,,,,1,2
let it burn,Music,Lyrics,,,1,1
Little Prince,Language and Literature ,Book,,,0,2
let me hold you down,Music,Lyrics,,,1,2
Lewis Hamilton,People and Characters,Sports,F1,,1,1
Kuch Kuch Hota Hai,Movies,Indian,,,1,2
Eid al-fitr,Events,,,,0,2
Lilly Singh,People and Characters,Youtube,,,1,3
Lets go 50/50 ,Music,,,1,1,2
Let the Right One In,Movies,,,,0,2
Electric Daisy Carnival,Events,,,,0,2
Echidna,Animals,,,,0,3
Lionel Messi,People and Characters,Sports,soccer,,0,1
lord of the flies,Language and Literature ,Book,,,0,2
Louis Armstrong,People and Characters,,,,1,2
Liza Koshy,People and Characters,Youtube,,,0,3
Lizzie Magie,People and Characters,,,,1,2
Luciano Pavarotti,People and Characters,Music,Artist,,0,3
King of the Hill,TV Show,,,,1,3
*Shooting*,Actions,,,,,1
*Climbing*,Actions,,,,,1
*Knitting*,Actions,,,,1,2
Line of Duty,TV Show,,,,0,3
Lion's ear,Nature,South Africa,,1,0,3
"[Chair, Couch, Bench]",Technical,triplets,,,,3
"[Fork, Spoon, Knife]",Technical,triplets,,,1,2
Honda,Companies,,,,1,1
Lucky Dube,People and Characters,Music,,1,1,2
Magic Johnson,People and Characters,Sports,Basketball,,0,2
Hulu,Companies,,,,0,2
Long Walk to Freedom,Movies,South Africa,,1,1,1
Grahamstown,Geography,Places,,1,0,2
Koeksisters,Culture,,,1,1,1
Grand Canyon,Geography,Landmarks,,,0,1
Mahatma Gandhi,People and Characters,Politician,,,1,2
Lost,TV Show,,,,1,1
Malcolm Gladwell,People and Characters,Literature,,,0,2
Melktert,Food and Drink,,,1,0,2
Mansa musa,People and Characters,Music,Artist,,1,2
OTP,Technology,,,,0,2
Marais Viljoen,People and Characters,Politician,,1,1,2
Fossa,Animals,,,,0,3
Momentum,Math and Science,Company,,,,1
inside out,Movies,,,,0,2
Mariah Carey,People and Characters,Music,Artist,,1,1
Magna Carta,History,Event,,,1,2
Marie Curie,People and Characters,,,,0,2
Mark fish,People and Characters,Sports,Soccer,1,1,2
"[Glue, Tape, Stapler]",Technical,triplets,,,1,3
One Flew Over the Cuckoo's Nest,Movies,,,,1,2
"Hook, Line, Sinker",Language and Literature ,triplets,,,1,2
"[Introduction, Body, Conclusion]",Technical,triplets,,,1,3
Great Barrier Reef,Geography,Landmarks,,,0,3
Maoist China,History,Event,,,0,3
Mark Shuttleworth,People and Characters,,,,0,1
Metal Gear Solid,Games,,,,0,3
USB Flash Drive,Technology,,,,,1
E-Reader,Technology,,,,,2
morse code,Technology,,,,0,2
AR Glasses,Technology,,,,,2
Motherboard,Technology,,,,1,2
Great Wall of China,Geography,Landmarks,,,1,1
Koesisters,Culture,,,1,,1
Kombi,Culture,,,1,1,2
like a g6,Music,,,,1,1
Greece,Geography,Country,,,,1
Marlon Brando,People and Characters,,,,0,3
Marnus Labuschagne,People and Characters,Sports,Cricket,,1,3
Monkey Pox,Math and Science,,,,1,2
Minecraft,Games,,,,0,2
Martina Navratilova,People and Characters,Sports,Tennis,,1,3
maher zain,Music,Artist,,,1,3
Light Yagami,People and Characters,Anime,,,0,3
Michael Jordan,People and Characters,Sports,basketball,,0,1
Michael Phelps,People and Characters,Sports,,,1,1
lord of the rings,Language and Literature ,Book,,,0,1
Johnson & Johnson,Companies,,,,1,1
Love Island,TV Show,,,,0,1
Michael Schumacher,People and Characters,Sports,F1,,0,1
MMA,Sports,,,,0,1
Guyana,Geography,Country,,,1,3
Mad Men,TV Show,,,,1,3
Hagia Sophia,Geography,Landmarks,,,1,3
Laaitie,Culture,,,1,1,1
Mimosa,Food and Drink,Drink,,,1,2
Madam & Eve,TV Show,,,1,0,2
*Mexican wave*,Actions,,,,1,1
Mickey Mantle,People and Characters,Sports,,,1,2
